"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8TPX4H2U","book","2007","Brantley, Jeffrey","Calming your anxious mind: how mindfulness and compassion can free you from anxiety, fear, and panic","","978-1-57224-487-0","","","","Dr. Brantley offers readers this fully revised and expanded second edition that includes two new chapters on acceptance practice during mindfulness meditation and feeling safe while facing fear, anxiety, and panic","2007","2025-03-24 18:42:22","2025-03-24 18:43:37","","","227","","","","","Calming your anxious mind","","","","","New Harbinger Publications","Oakland, CA","","","","","","Library Catalog (Blacklight)","BF575.A6 B737 2007","OCLC: 85485158","","","https://catalog.libraries.psu.edu/catalog/40788458","interlibrary","Ångest; Anxiety; Attention; Centrala nervsystemet; Fear; Meditation; Méditation; Mindfulnessmeditation; Peur; psykologiska aspekter; Rädsla","","","","","","","","","","","","","","","","","","","","2nd ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LYEFT4H","thesis","1976","Kissel, Elsa","An investigation of the relationship between anxiety, preferred conversational distance and subjective future life span","","","","","","","1976","2025-03-24 18:43:42","2025-03-24 18:43:52","","","102","","","","","","","","","","publisher not identified","Place of publication not identified","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/18484","interlibrary","Anxiety; Nursing; Space and time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAY85JFM","book","2014","Lacan, Jacques","Anxiety: the seminar of Jacques Lacan. Book 10","","978-0-7456-6041-7","","","","","2014","2025-03-24 18:44:09","2025-03-24 18:44:20","","","352","","","","","Anxiety","","","","","Polity","Cambridge","","","","","","Library Catalog (Blacklight)","BF575.A6 L33 2014","","","","https://catalog.libraries.psu.edu/catalog/12554006","interlibrary","Anxiety; Psychoanalysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELM3S2ME","book","1995","","Attachment theory: social, developmental, and clinical perspectives","","978-0-88163-184-5","","","","","1995","2025-03-24 18:45:06","2025-03-24 18:45:15","","","515","","","","","Attachment theory","","","","","Analytic Press","Hillsdale, NJ","","","","","","Library Catalog (Blacklight)","BF575.A86 A82 1995","","","","https://catalog.libraries.psu.edu/catalog/1481847","interlibrary","Attachment behavior; Attachment behavior in children; Psychoanalysis","Goldberg, Susan; Muir, Roy; Kerr, John","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LRSGEER","book","2014","Castellano, Rosetta; Velotti, Patrizia; Zavattini, G. C.","What makes us stay together? attachment and the outcomes of couple relationships","","978-1-78220-058-1","","","","","2014","2025-03-24 18:45:33","2025-03-24 18:45:46","","","154","","","","","What makes us stay together?","Library of couple and family psychoanalysis","","","","Karnac","London","eng","","","","","Library Catalog (Blacklight)","BF575.A86 C3713 2014","OCLC: 878916415","","","https://catalog.libraries.psu.edu/catalog/11942901","interlibrary","Attachment behavior; Couples; Couples Therapy; Object Attachment; psychology; Psychology; Spouses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LHHRCV8S","journalArticle","2012","Gordon, Elizabeth A.; Heimberg, Richard G.; Montesi, Jennifer L.; Fauber, Robert L.","Romantic relationships: do socially anxious individuals benefit?","Cognitive Behaviour Therapy","","1651-2316","10.1080/16506073.2012.656275","","Psychological health and interpersonal functioning mutually influence each other. Social anxiety has a pervasive effect on interpersonal functioning, resulting in smaller social networks, increased likelihood of being single or divorced, and less intimacy in relationships. However, little is known about how relationships affect socially anxious individuals in return. We utilized a structured interview to assess how romantic relationships were perceived as influencing three aspects of psychological health (well-being, social anxiety and comfort in social situations) and whether these patterns differed as a function of social anxiety in an undergraduate sample. The perceived importance of several reasons for these effects, including those that could be characterized as both protective and harmful, was also assessed. Relationships were perceived as having contributed positively in each domain. However, when positive and negative reasons were examined separately, socially anxious individuals reported benefiting more from the positive reasons and being harmed more by negative reasons. Further, social anxiety was associated with endorsing certain reasons as important.","2012","2025-03-24 18:46:18","2025-03-24 18:46:33","","140-151","","2","41","","Cogn Behav Ther","Romantic relationships","","","","","","","eng","","","","","PubMed","","PMID: 22413773","","","http://www.ncbi.nlm.nih.gov/pubmed/22413773","web","Adolescent; Adult; Arousal; Dependency, Psychological; Female; Humans; Interpersonal Relations; Love; Male; Middle Aged; Object Attachment; Personality Inventory; Phobic Disorders; Psychometrics; Quality of Life; Social Adjustment; Social Identification; Social Perception; Social Support; Students; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUTUXDI8","webpage","","","Social anxiety disorder (social phobia) - Symptoms and causes","Mayo Clinic","","","","https://www.mayoclinic.org/diseases-conditions/social-anxiety-disorder/symptoms-causes/syc-20353561","Learn more on this disorder where everyday interactions cause significant worry and self-consciousness because you fear being judged negatively by others.","","2025-03-24 18:46:47","2025-03-24 18:46:56","2025-03-24 18:46:47","","","","","","","","","","","","","","en","","","","","","","","","/Users/iphone14/Zotero/storage/M3AE3BWR/syc-20353561.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5MZQBLM","webpage","2021","Corliss, Julie","The art of a heartfelt apology","Harvard Health","","","","https://www.health.harvard.edu/blog/the-art-of-a-heartfelt-apology-2021041322366","If you have upset someone, the best way to rectify the situation is by making a sincere, heartfelt apology. But just saying the words isn't quite enough: for an apology to be effective, it h...","2021-04-13","2025-03-24 18:47:24","2025-03-24 18:47:39","2025-03-24 18:47:24","","","","","","","","","","","","","","en","","","","","","","Section: Mind & Mood","","/Users/iphone14/Zotero/storage/SQILYTNI/the-art-of-a-heartfelt-apology-2021041322366.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7I2P5B6H","webpage","","","Anxiety Disorders","Cleveland Clinic","","","","https://my.clevelandclinic.org/health/diseases/9536-anxiety-disorders","There are seven types of anxiety disorders. Do you know all of them?","","2025-03-24 18:49:05","2025-03-24 18:49:13","2025-03-24 18:49:05","","","","","","","","","","","","","","en","","","","","","","","","/Users/iphone14/Zotero/storage/3U9QSVNZ/9536-anxiety-disorders.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMNM8RWY","webpage","","","Anxiety","https://www.apa.org","","","","https://www.apa.org/topics/anxiety","Anxiety is characterized by feelings of tension, worried thoughts, and physical changes. Anxiety is considered a future-oriented, long-acting response broadly focused on a diffuse threat.","","2025-03-24 18:49:25","2025-03-24 18:49:32","2025-03-24 18:49:25","","","","","","","","","","","","","","en","","","","","","","","","/Users/iphone14/Zotero/storage/YTDV8T2V/anxiety.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
